   Time (years)    Recurrence (years)
   3.6975891e+01   3.4867600e+00
   4.0621699e+01   3.6458080e+00
   4.5534831e+01   4.9131320e+00
   4.9559282e+01   4.0244510e+00
   5.3513637e+01   3.9543550e+00
   5.7490640e+01   3.9770030e+00
   6.2124546e+01   4.6339060e+00
   6.6574802e+01   4.4502560e+00
   7.1766473e+01   5.1916710e+00
   7.7743245e+01   5.9767720e+00
   8.0460467e+01   2.7172220e+00
   8.3965431e+01   3.5049640e+00
   8.6980616e+01   3.0151850e+00
   9.0868431e+01   3.8878150e+00
   9.5524628e+01   4.6561970e+00
   9.9577728e+01   4.0531000e+00
   1.0303155e+02   3.4538220e+00
   1.0558500e+02   2.5534500e+00
   1.0860853e+02   3.0235300e+00
   1.1102980e+02   2.4212700e+00
   1.1393606e+02   2.9062600e+00
   1.1736118e+02   3.4251200e+00
   1.2015137e+02   2.7901900e+00
   1.2391643e+02   3.7650600e+00
   1.2730232e+02   3.3858900e+00
   1.3253398e+02   5.2316600e+00
